uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:1dQtt3K8GyPmH7ZD1LJ2ox	0.803	0.902	1	-2.934	1	0.0676	0.00533	0.667	0.111	0.628	126.999	166777	-1
spotify:track:4I5wm54hVyiLcHLLyZwK0D	0.652	0.617	0	-7.196	1	0.287	0.0765	0.0	0.108	0.583	139.99	209143	12
spotify:track:4nCW3tSl82LPbmrrwYpF4b	0.57	0.96	6	-1.986	0	0.0656	0.00139	0.829	0.137	0.148	150.063	227200	-1
spotify:track:4xX0W5Q6yS6yq6ScAXFCLs	0.415	0.918	1	-1.554	0	0.0789	0.031	4.82e-05	0.385	0.281	149.85	246500	2
spotify:track:1mdJklgo32GsyU3kVUQK1l	0.46	0.966	9	-4.839	1	0.202	0.0027	0.0358	0.339	0.209	160.26	186000	2
spotify:track:6O24BojI6pjogt7l0eW5XT	0.373	0.985	11	-2.907	0	0.373	0.0211	0.0	0.518	0.453	176.319	190909	2
spotify:track:7dMHikM2EFipQdSyDZbnsE	0.499	0.978	11	0.128	0	0.0976	0.00285	0.0	0.322	0.323	175.034	230400	2
spotify:track:6UOBGqEGl8eHLWXqiLdCY9	0.66	0.908	8	-4.226	1	0.17	0.017	0.000336	0.126	0.664	98.059	264490	0
spotify:track:6oaFPm9b0uGVOqtwVNvJ9M	0.616	0.625	1	-6.615	1	0.0707	0.139	0.000813	0.129	0.413	100.043	256801	-1
spotify:track:5mmvdgjLgQPTGOUeqWt4Lw	0.722	0.831	6	-3.582	1	0.0242	0.00449	0.0292	0.101	0.698	102.017	232953	12
spotify:track:0t4lajWALfUkhVleojB5P8	0.535	0.883	7	-7.104	1	0.0426	6.32e-05	0.0456	0.266	0.0616	121.218	301012	-1
spotify:track:01NkMTGIYbAu4CnzynNBYJ	0.412	0.86	4	-6.275	0	0.0452	0.269	0.914	0.362	0.0389	127.964	286875	2
spotify:track:3mWgVg6IGvxbqnOYqUsDwm	0.764	0.854	1	-5.163	1	0.067	0.0495	0.814	0.0871	0.169	127.981	148183	-1
spotify:track:7opksMdU6x9OYV8AkpZHIU	0.442	0.973	1	-2.908	1	0.24	0.0136	0.618	0.384	0.052	149.841	227200	2
spotify:track:4qOxWdTOrSyFQtadxyB2Z1	0.595	0.949	3	-2.346	0	0.151	0.0978	0.053	0.0543	0.444	144.107	166667	-1
spotify:track:2sHAn0xGFqwl5X1ciLvfv2	0.575	0.902	1	-4.472	1	0.0571	0.00108	0.848	0.0783	0.397	150.182	218571	-1
spotify:track:0zchXoLWJaf0OEH3DALpIn	0.394	0.932	11	-5.163	1	0.27	0.0217	0.00671	0.0791	0.126	150.041	208000	12
spotify:track:1oBhvIDddwBZ9LfaySy7Zl	0.636	0.695	7	-7.216	0	0.0428	0.0462	0.024	0.12	0.0493	137.937	190728	-1
spotify:track:3KExrKzEtmZxa81zSky5qT	0.663	0.962	10	-2.726	0	0.0481	0.000572	0.0108	0.297	0.0835	120.023	192500	2
spotify:track:1em64oUUeu9TKKP7cxTkpz	0.417	0.674	2	-6.673	1	0.0433	0.0826	0.00031	0.254	0.194	119.844	208005	-1
spotify:track:79S17PusMaGttKfoG4aQab	0.523	0.698	5	-5.075	1	0.0383	0.00849	0.00319	0.105	0.279	145.073	269138	-1
spotify:track:3Sn3kY2x96nJs40Ag4tjZl	0.846	0.805	11	-6.957	0	0.0773	0.000453	0.812	0.0585	0.574	127.008	272598	-1
spotify:track:3M3K9caDlCojE7Srbn9Zpe	0.785	0.984	0	-5.102	0	0.0503	0.097	0.861	0.0592	0.666	126.016	171429	7
