uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:70uLsKBocpAg2WFM9d5aj3	0.652	0.842	8	-8.407	0	0.0423	0.00102	0.875	0.148	0.349	120.0	352563	-1
spotify:track:37vOIBG0o3klEhQ4Xii9Sl	0.629	0.592	0	-9.578	0	0.0284	0.00484	0.00523	0.355	0.083	122.005	214422	-1
spotify:track:2icsdn3Tszse0MhdqGzzBx	0.764	0.609	0	-8.341	1	0.0462	0.00231	0.889	0.0481	0.694	117.992	326500	6
spotify:track:0h66RHxrTWsdq1pyHLzRY8	0.689	0.887	3	-7.17	0	0.0335	0.00294	0.897	0.452	0.198	121.992	226187	2
spotify:track:7cIfGsFECn8CkrSe04IMx5	0.64	0.578	0	-13.061	1	0.042	0.00981	0.828	0.168	0.471	119.004	340500	-1
spotify:track:07IOudxDy8urDK8U6OZyuO	0.741	0.546	6	-8.356	0	0.044	0.000306	0.824	0.384	0.25	124.023	240015	2
spotify:track:3aMPqZwoG8SwCqQPETruNA	0.667	0.877	6	-9.39	1	0.0444	0.103	0.73	0.0577	0.589	126.003	523616	-1
spotify:track:0TRyEt9LfVZTayk74ZA0gi	0.701	0.563	5	-7.527	0	0.0448	0.00149	0.881	0.305	0.603	125.996	484287	2
spotify:track:1nuY233IbDmzXT8g4RR3IY	0.527	0.944	3	-6.4	0	0.0409	0.00651	0.809	0.0779	0.075	125.015	224250	28
spotify:track:6KtJHO1CWiM14b82Q4NlrI	0.885	0.563	1	-6.148	1	0.0586	0.0259	0.0913	0.0599	0.73	127.995	327026	12
spotify:track:4hkKExmpegxg0bPq3dTwkY	0.73	0.635	0	-8.266	1	0.0444	0.00857	0.845	0.117	0.343	123.98	426294	-1
spotify:track:0mogpLJRPJTCCdy5yV9qhl	0.669	0.884	6	-6.431	1	0.036	0.00619	0.821	0.0775	0.426	125.02	264698	-1
spotify:track:1y3xJnHNxRKQLpDFzWBLvK	0.759	0.883	10	-5.905	0	0.0453	0.013	0.869	0.0759	0.172	124.002	381290	-1
spotify:track:7FQaEFPI8O1ZfKDjaF3MXa	0.732	0.915	11	-6.303	1	0.0488	0.00439	0.713	0.0585	0.714	122.008	421945	6
spotify:track:7xmXwtd8mL15ZMn4CKI94u	0.753	0.949	7	-2.91	0	0.211	0.0415	0.399	0.16	0.193	128.012	174492	0
spotify:track:6J5qO56twlAoR9ssCCacHe	0.948	0.93	11	-5.394	0	0.188	0.00356	0.186	0.129	0.335	126.003	144733	0
spotify:track:0ZMEYQXBng4a4lWyx5dpGD	0.708	0.696	4	-4.61	0	0.316	0.0985	0.0028	0.212	0.677	128.056	161250	12
spotify:track:3JsH3qnwhYGs20PBMsCgNx	0.66	0.878	6	-6.647	0	0.0596	0.212	0.663	0.16	0.264	129.004	213800	-1
spotify:track:4nrPB8O7Y7wsOCJdgXkthe	0.778	0.632	2	-5.6	0	0.0493	0.274	0.0	0.0915	0.498	122.104	218289	-1
spotify:track:1BekxmZKaOuPxxlS7kF1Gz	0.566	0.949	8	-6.906	1	0.043	0.00397	0.42	0.0563	0.108	126.032	163640	12
