uri	artists	track_title	release_date	release_date_precision	genre	record_label
spotify:track:4BohvnbdJNs4HRNgQP7teT	SIS	Melissa	2022-08-19	day	Organic House / Downtempo	RKJVK
spotify:track:1gA7G7cIL1tGrP5zJ9RYLo	SKALA, Dom Fricot	Any Reason Why	2023-01-27	day	Melodic House & Techno	Stil Vor Talent
spotify:track:5GRWCsi6QkL6n2dsYIxfyo	Slin Bourgh, Julien Riess	The Cut	2023-06-23	day	Techno (Peak Time / Driving)	Alaula Music
spotify:track:7AfK8qyLCeRYmKpPLu8THI	Sllash & Doppe	African Vibes (Extended Mix)	2021-10-29	day	Tech House	Toolroom Trax
spotify:track:7cm6Vlh8Zrid38RomC4RGj	Smilla, Worakls	Play (Worakls Remix)	2012-10-12	day	Techno (Peak Time / Driving)	Harthouse
spotify:track:16yJbFTbt825cMG5GQQnuM	Sneaky Sound System, David Penn	Can't Help the Way That I Feel (David Penn Remix)	2018-09-21	day	House	Cr2 Records
spotify:track:5QYKmxfPsl69GgeZKDAVSx	Sofi Tukker, Gorgon City	House Arrest	2020-05-15	day	Dance / Electro Pop	Ultra
spotify:track:4jnJv7stsCtHUDsJv43lOD	Sofi Tukker, John Summit, Claptone	Sun Came Up (Claptone Remix)	2021-10-22	day	Dance / Electro Pop	Ultra
spotify:track:68raS6F0ad2Iilql3yYeCt	Sofi Tukker, Vintage Culture, John Summit	Drinkee (Vintage Culture & John Summit Remix)	2021-07-23	day	Tech House	Ultra
spotify:track:3CDHLSjtGBCGFJ6Mz32mIa	SOHMI	Do It (Extended Mix)	2021-03-11	day	Tech House	Odd One Out
spotify:track:7yEDXWnJtWkHnVsclNuklc	Solardo	Angel Dust	2022-10-28	day	Dance / Electro Pop	Tomorrowland Music
spotify:track:2UUEWGKKPqSSVptWHrgjRZ	Solarstone, Tom Staar	Seven Cities (Tom Staar Extended Remix)	2020-10-02	day	Trance (Main Floor)	Armada Music
spotify:track:1NiTCVNzyE6Q3ld9Yv8hir	Solee	Impressed (Rework)	2019-07-01	day	Melodic House & Techno	Parquet Recordings
spotify:track:1IbNYr8ByXsgwGbmOxLBXP	Solomun	Friends	2014-07-07	day	Deep House	2DIY4
spotify:track:1jQmhFRBht2hTuEDTCDNtc	Solomun	Home (Club Mix)	2020-10-16	day	Melodic House & Techno	NINL
spotify:track:5tE6O5aR5b7krAkQnPrkYC	Solomun	Hypnotize	2009-10-26	day	Melodic House & Techno	Diynamic
spotify:track:401kD29F2kQm7jKtntwqRw	Solomun	The Way Back	2008-08-29	day	Deep House	Compost
spotify:track:0ieEtd2fM6a5ByySe2G71n	Solomun	We'll never have today again	2021-02-19	day	Melodic House & Techno	Cocoon Recordings
spotify:track:0DbzOtR6qoqGcgcaznOGS0	Somelee	Limba La	2021-12-10	day	Organic House / Downtempo	Melody Of the Soul
spotify:track:4G58eym5EGj8ZG1qt8DXIx	Something Good, Yotto	Rhythm (Of The Night)	2022-10-14	day	Progressive House	Armada Music
spotify:track:3TzGqoCMdFGH9fCYrFrxB8	SOMMA, Jem Cooke	Rush (Extended)	2022-06-03	day	Deep House	Selected.
spotify:track:5DvgbFI4H81m1O7GUp20t5	Son Of 8, Phats & Small	With Every Heartbeat	2016-10-31	day	Dance / Electro Pop	SPRS
spotify:track:6n8wkmgsU4wCJdM2rky0yb	Sono, ARTBAT	Keep Control (ARTBAT Remix)	2020-01-17	day	Melodic House & Techno	Kontor Records
spotify:track:64FfZ2jGAMMQQkzLb7cby0	Soul Central	Strings Of Life (Supernova Remix)	2012-06-26	day	House	Defected
spotify:track:5bTSkLDX2Jfh5XBtvI7Vn0	Soul Central, Supernova	Strings of Life (Supernova Main Mix)	2019-04-12	day	House	Defected
spotify:track:4HMHVBLd3PYzG94v7sHxGI	Soul Providers, Bini & Martini	Rise (Bini & Martini Original Mix)	2012-03-14	day	House	Ocean Trax
