uri	artists	track_title	release_date	release_date_precision	genre	record_label
spotify:track:126B1mu0tb4gEqyjufUjms	&ME	The Rapture Pt.II	2018-11-23	day	Melodic House & Techno	Keinemusik
spotify:track:200DiJQhDi69nkGXOrrJgn	&ME, Black Coffee, Keinemusik	The Rapture Pt.III	2023-06-09	day	Melodic House & Techno	Keinemusik
spotify:track:5dVNX4bu0pQImyIcsodydt	&ME, Rampa, Adam Port	What You Expected	2021-11-12	day	Melodic House & Techno	Keinemusik
spotify:track:0eKe1PGoUHeTY9CGn0qH80	16BL, Wild Dark	Always (Extended Mix)	2022-02-22	day	Melodic House & Techno	Anjunadeep
spotify:track:6X8Ma5Du7eytD3vMeL2YFy	2raumwohnung, Paul Kalkbrenner	Wir werden sehen (Paul Kalkbrenner Remix)	2010-07-02	day	Melodic House & Techno	It Sounds
spotify:track:7qPdQj8fmjU4xJbqdYYTU5	4 Strings	Take Me Away (Into The Night) (Vocal Mix)	2002-09-17	day	Trance (Main Floor)	SPINNIN' RECORDS
spotify:track:2LfI8RId2sMaeyrNt53JHo	8Kays, Diana Miro	Easy	2021-11-26	day	Melodic House & Techno	ATLANT
spotify:track:5x0e4uMMRFnRMxcsEYaSgC	A-Trak, Ferreck Dawn	My Own Way (Extended)	2021-01-08	day	House	Fool's Gold Records
spotify:track:05ElNczF9DQTlLa1w8B67N	A.Paul, Robert S PT	5th Density (Robert S (PT) Remix)	2020-05-25	day	Techno (Peak Time / Driving)	Sleaze Records (UK)
spotify:track:7t7V8DTZcNjQsxW7nqa1xJ	A.S.H	Together	2019-06-07	day	Techno (Peak Time / Driving)	ESP Institute
spotify:track:1DTLuAyZhiqLbxpZM3QoaY	Above & Beyond	Projection	2022-07-22	day	Trance (Main Floor)	Anjunabeats
spotify:track:77aKtsd1ZO94xmQmX671db	Above & Beyond, anamē, Marty Longstaff, Sébastien Léger	Gratitude (Sébastien Léger Remix)	2022-08-05	day	Organic House / Downtempo	Anjunabeats
spotify:track:4lK6ZjULKkSyQMUgXZEyCM	Above & Beyond, Enamour	Homecoming (Enamour Extended Mix)	2020-06-10	day	Melodic House & Techno	Anjunabeats
spotify:track:3gMpytR0jqQHKlq3TQHeWc	Above & Beyond, Justine Suissa	Almost Home (Above & Beyond Extended Deep Mix)	2021-10-14	day	Trance (Main Floor)	Anjunabeats
spotify:track:1GHOLip5jcgRIBqd8QUx7N	Above & Beyond, Marsh	Believer (Marsh's Guatape Remix)	2022-01-06	day	Melodic House & Techno	Cercle Records
spotify:track:54MaLhOQkRH21TVbpF4PZO	Above & Beyond, Matt Lange	Is It Love? (1001) (Matt Lange Extended Mix)	2019-06-27	day	House	Anjunabeats
spotify:track:36V6S72f8wJ06yWyqq8yAE	Above & Beyond, Richard Bedford	Bittersweet & Blue	2020-03-27	day	Trance (Main Floor)	Anjunabeats
spotify:track:5uwnXVq6NrQDvIlVZznVaC	Above & Beyond, Richard Bedford	Sun & Moon (Above & Beyond Club Mix)	2020-05-21	day	Trance (Main Floor)	Anjunabeats
spotify:track:5g7Qr5tcNvpLyXjUWoWgCb	Above & Beyond, Richard Bedford, Ben Böhmer	Northern Soul (Ben Böhmer Remix)	2018-02-16	day	Melodic House & Techno	Anjunabeats
spotify:track:6XBY1sYuQpg3uqD15lMy2y	Above & Beyond, Richard Bedford, Oliver Heldens	Thing Called Love (Oliver Heldens Extended Mix)	2021-01-08	day	Trance (Main Floor)	Anjunabeats
spotify:track:3fLXYKCsk4QRYTHUFtcL03	Above & Beyond, Ruben de Ronde, Elevven	Can't Sleep (Ruben de Ronde & Elevven Remix)	2022-05-30	day	Trance (Main Floor)	Anjunabeats
spotify:track:5Fwy2NWmrpqYty8JcVsziA	Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure	See The End (Nora En Pure Extended Mix)	2019-11-07	day	Melodic House & Techno	Anjunabeats
spotify:track:4Z71ZiUlYReaY7dxv6MncY	Above & Beyond, Zoë Johnston, i_o	Alchemy (i_o Extended Mix)	2019-05-21	day	Trance (Main Floor)	Anjunabeats
spotify:track:7KTXRffEb5n9bqUSgYmNXk	Above & Beyond, Zoë Johnston, Tinlicker	Always (Tinlicker Remix)	2019-06-04	day	Trance (Main Floor)	Anjunabeats
spotify:track:1kUEp7z1Ivfk2caT9uQP1P	Adam Beyer	Legend	2023-02-10	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:0Bwy2Bwxqzhx8bfSBgWY5W	Adam Beyer	What You Need	2015-05-18	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:2HPeTDcsRgHHwG70TGlhRF	Adam Beyer, Amelie Lens	Teach Me (Amelie Lens Main Mix)	2019-02-11	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:1WsHKAuN9vDthcmimdqqaY	Adam Beyer, Bart Skils	Your Mind	2018-07-02	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:3QeQ9CW00jI5J6NPF7vel0	Adam Beyer, Bart Skils, Charles D (USA)	Your Mind (Epic Edit)	2022-09-02	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:7l4PZF1AU7bu8FFbMtMyRo	Adam Beyer, DJ Rush	Restore My Soul	2021-06-11	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:6VouvfyygVMuODigWmheJT	Adam Beyer, Layton Giordani, Green Velvet	Space Date	2018-08-13	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:1lbUtnuS8AYvKd0lziKpJ4	Adam Beyer, Layton Giordani, Green Velvet, Pleasurekraft	Space Date (Pleasurekraft Remix)	2019-07-08	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:6PzfuuQ95fRU9JRFSFFq77	Adam Port, Monolink	Point Of No Return	2023-03-15	day	Melodic House & Techno	Afterlife Records */, /* BRNC
spotify:track:2dwU9cQumllxZFtXgautY4	Adam Port, Theus Mago, Keinemusik, Martina Camargo	The Dream (feat. Martina Camargo)	2023-07-28	day	Melodic House & Techno	Defected */, /* BRNC
spotify:track:2G4GRlIkay5zMX0eXFncFI	Adana Twins	The Curve	2021-06-18	day	Indie Dance	Watergate Records
spotify:track:4ukLAzXMLNzr9yxjlH7mJF	Adriatique	Voices From The Dawn	2018-03-09	day	Melodic House & Techno	Afterlife Records
spotify:track:51HdhfbF3LvPfJuSGf6Bot	Aevion, Oliver Heldens	The Journey (Oliver Heldens Edit)	2017-07-24	day	Mainstage	Heldeep Records
spotify:track:6vQ78qxkllkimCtAyIZph2	Africanism, Martin Solveig, Ferdy	Edony (Ferdy Extended Remix)	2019-07-05	day	House	Yellow Productions presents Africanism
spotify:track:2vhLsN2p6FHPPm4LfEBB3N	Afro Medusa, Knee Deep	Pasilda (Knee Deep Club Mix)	1999	year	House	Armada Music
spotify:track:6X6Ow0iioCrYQSK1QDHQbC	Age Of Love, Charlotte de Witte, Enrico Sangiuliano	The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix)	2021-08-13	day	Techno (Peak Time / Driving)	DIKI Records Classics
spotify:track:2N9lsIRGL2ElSOGeoAFjR4	Agent Greg	Bootyshake (Original Mix)	2019-12-16	day	Tech House	Cube Recordings
spotify:track:1NB8HcUSulY9WexgXms8ff	Agents Of Time	Dream Vision	2018-11-30	day	Melodic House & Techno	Afterlife Records
spotify:track:0UpOECrQV1WCxepq5aSTyO	Aiiso	Hopeful For A Sign	2017-04-11	day	Deep House	Anjunadeep
spotify:track:02f2u3zaWbEYDcBnqNZz2r	Aiiso	Programmer	2019-07-02	day	Melodic House & Techno	Anjunadeep
spotify:track:0gDfkQYmyiq0eZFLof6hbh	Airbase	Escape (Radio Edit)	2006-01-24	day	Trance (Main Floor)	Armada Music
spotify:track:3widiHpfdpLKuLqu7oMfaO	Airbase, Sunny Lax	Escape (Sunny Lax Remix)	2021-10-15	day	Trance (Main Floor)	Armind (Armada)
spotify:track:5l8VA4LS2FUfqavQVgaaxO	AIROD, Amelie Lens	Raver's heart	2021-06-11	day	Techno (Peak Time / Driving)	Lenske
spotify:track:00jeiElGSGej0YjhJYAzaw	AKA AKA	Narcotica	2018-10-05	day	Tech House	1st Strike Deep
spotify:track:1DMAvjc8lHD1rGKvTOh66L	Alaia & Gallo, Kevin Haden	Who Is He? (feat. Kevin Haden) (Extended Mix)	2021-02-26	day	House	Glitterbox Recordings
spotify:track:5jZdoOLctNYU8c9zDlCLzJ	Alaia & Gallo, Kevin Haden, Claptone	Who Is He (feat. Kevin Haden) (Claptone Extended Remix)	2016-10-28	day	House	Glitterbox Recordings
spotify:track:7oKKVO6iODYTFlibMX9oGC	Alaia & Gallo, Kevin Haden, Dr Packer	Who Is He? (feat. Kevin Haden) (Dr Packer Extended Remix)	2021-02-26	day	Nu Disco / Disco	Glitterbox Recordings
spotify:track:6DpL6pVHnCZ91EoPzkB0Zi	Alaia & Gallo, LOV	Call Your Name	2019-02-25	day	House	Armada Subjekt
spotify:track:1LIj5vN7Q8id16vaNQ92G6	Alain Gertrand	Pause Soleil	2022-03-18	day	Funky House	Routine Espresso Recordings
spotify:track:0tFyBGnOezYA449BKb1hZn	Alan Fitzpatrick	The Approach	2019-07-12	day	Techno (Peak Time / Driving)	Suara
spotify:track:5s36m0BvCeiP7rYEVejL7F	Alan Fitzpatrick, CamelPhat	Kona	2019-05-03	day	Techno (Peak Time / Driving)	We Are The Brave
spotify:track:2cXo7Bly6wskckTQytxAOy	Alan Fitzpatrick, Patrice Rushen	Haven't You Heard (Fitzy's Fully Charged Mix)	2020-02-07	day	House	FFRR
spotify:track:0fZ19tHX4FSslZn8EeKCpo	Alex Kennon, Joris Voorn	Blinding Lights (Joris Voorn Remix)	2021-04-02	day	Melodic House & Techno	Spectrum (NL)
spotify:track:31QqKRikjh4mtLFPle9ub9	Alex Lur, GROJ	Seda	2021-07-02	day	Melodic House & Techno	AFTR:HRS
spotify:track:4W55qYfxVD5iyfkDXgK6ue	Alex Metric, Amtrac	Upswing	2020-09-16	day	Melodic House & Techno	Anjunadeep
spotify:track:1qGtpcoxzY6ouy2yOtwHcN	Alex Preston	Aja	2022-05-27	day	Afro House	Basement Sound
spotify:track:2QlevuOOERHLcKxkhXskAK	Alex Sonata & TheRio	Cala Luna	2022-06-10	day	Trance (Main Floor)	Anjunabeats
spotify:track:4hl7Fu604rMlt4viCJmSN9	Alex Stein	Headrush	2020-11-27	day	Techno (Peak Time / Driving)	Terminal M
spotify:track:4DQTrCa02Vo34fDS0nHmSX	Alex Stein, Transcode	Control Me	2022-08-05	day	Techno (Peak Time / Driving)	Terminal M
spotify:track:20f9byj2N9OlC3VbHprwKk	Alex Van Alff, The Cube Guys	Champion Sound (The Cube Guys Radio)	2021-07-02	day	House	Cube Recordings
spotify:track:4Wqt3AN9VdDLSasuomSYmI	Algrthm	On My Mind	2019-12-13	day	Nu Disco / Disco	Prison Entertainment
spotify:track:7n9rePdJHPQ6QFgpjTPEj6	Alignment	Attack	2022-06-24	day	Hard Techno	KNTXT
spotify:track:3ODEf1vww4qljvqidfcqIU	ALMA (GER)	Lost In The Stars (Original Mix)	2021-12-17	day	Melodic House & Techno	Definition:Music
spotify:track:72DJYvdItwcnDUzbViU1Kl	alt-J, Tinlicker	Breezeblocks (Tinlicker Extended Mix)	2019-08-20	day	Progressive House	Anjunabeats
spotify:track:2z1eTgub49WD8F7RWBO2Fg	Amazingblaze	Inner Fire	2022-02-25	day	Techno (Peak Time / Driving)	KNTXT
spotify:track:4t1DXTyp454P6uY7FL29rg	Amelie Lens	Drift	2017-04-28	day	Techno (Peak Time / Driving)	Second State Audio
spotify:track:5iOeyAeFbAIbASxoYoAswL	Amelie Lens	Energize	2018-12-07	day	Techno (Peak Time / Driving)	Lenske
spotify:track:5UsfWcP6SThHlZ4oAgx7ge	Amelie Lens	Follow	2017-12-15	day	Techno (Peak Time / Driving)	Second State Audio
spotify:track:0L0jY2Wszmkau1tKQv2AZJ	Amelie Lens	Hypnotized	2019-07-12	day	Techno (Peak Time / Driving)	Second State Audio
spotify:track:2vfSCFvMbpf4hwxt22Wx7b	Amelie Lens	In Silence	2017-09-11	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:5e0cpLRbShZxK2w3LOR5Zb	Amelie Lens	Little Robot	2019-09-13	day	Techno (Peak Time / Driving)	Lenske
spotify:track:72uP5kgHIp7cwfnUNcFfPk	Amelie Lens	Resonance	2017-04-28	day	Techno (Peak Time / Driving)	Second State Audio
spotify:track:1yQRAi2Wk8BniBuB27f1bf	Amelie Lens	Stay With Me	2017-12-15	day	Techno (Peak Time / Driving)	Second State Audio
spotify:track:2IM2utL5oxwpN3kli1CiA9	Amelie Lens	Storm	2019-09-13	day	Techno (Peak Time / Driving)	Lenske
spotify:track:16AWPFcIfmbrYvl4hjOVHD	Amelie Lens, Farrago	Purge	2017-07-24	day	Techno (Raw / Deep / Hypnotic)	Arts
spotify:track:4E3A7qJWoSZWBGqTKw6iFC	Amonita	Milky Way	2021-06-10	day	Organic House / Downtempo	Peace Symphonies
spotify:track:4K7597R5TJY28eIzoepPKo	AmyElle, Tom Ashbrook	Tom Tune	2022-09-30	day	Dance / Electro Pop	Another Rhythm Records
spotify:track:7mJ8wKA9aexlL8ZLxqwPEO	Anabel Englund, Purple Disco Machine	London Headache (Purple Disco Machine Remix)	2016-11-18	day	Nu Disco / Disco	Nice Life/Atlantic
spotify:track:4nDmJSokE9MZ81UjCcWSNI	Analog Sol	Trinidad Dreams (Extended Mix)	2018-08-27	day	Melodic House & Techno	Armada Subjekt
spotify:track:6KMdMe54uoAcCdffmvyiic	Anastacia	I'm Outta Love (Hex Hector Radio Edit)	1999	year	Electronica	DistroKid
spotify:track:77vCn7iUHH8KAOqdOe1XjY	Anastacia	I'm Outta Love	2000-05-01	day	Dance / Electro Pop	Adue Music
spotify:track:43POhFEaOMcV8SOkgtLWne	ANDATA	Backroom	2022-10-21	day	Techno (Peak Time / Driving)	Senso Sounds
spotify:track:2ySk8ecOEBzNckGLKA6TEZ	Anden	Escalus	2019-07-12	day	Trance (Main Floor)	Zerothree
spotify:track:6pjHndin2nCDh5L57BJhUY	Anderholm	Addicted	2020-08-20	day	Melodic House & Techno	This Never Happened
spotify:track:3j953XKbVdcHUhwPeUVXmT	Anderholm	Iceberg	2021-08-10	day	Melodic House & Techno	This Never Happened
spotify:track:6jHwozb4zx4hIPnqpkAk0H	Anderholm	Meridian	2020-08-20	day	Melodic House & Techno	This Never Happened
spotify:track:7GG91wxtHKBS1Y2Yy0Qpxp	Anderholm	Mope	2019-06-13	day	Deep House	Armada Music Albums
spotify:track:7fhqnqIPiR0tvM0d3uj6tu	Anderholm	Muzik	2020-08-20	day	Melodic House & Techno	This Never Happened
spotify:track:3HqrQJO8bxiEq6GFgPWYwE	Anderholm	Sinus	2020-08-20	day	Melodic House & Techno	This Never Happened
spotify:track:0DAb8uXdSsQpuhfbOUWVOg	Andfølk, REYA	Aurora	2021-03-26	day	Melodic House & Techno	Caramel Records
spotify:track:716aUQxrISYyDXJc5Bvh46	Andre Crom, Charlotte de Witte	Jaunde (Charlotte De Witte Remix)	2016-05-16	day	Techno (Peak Time / Driving)	DIKI Records Classics
spotify:track:1aZWxYL6hdaUQoO5QDKprV	Andrea Laddo	Scandalous (Original Mix)	2020-02-03	day	Funky House	Cube Recordings
spotify:track:0GhMImCJ8bJ1oKDZOhUedJ	Andrew Bayer, Alison May	Midnight	2022-06-01	day	Trance (Main Floor)	Anjunabeats
spotify:track:7aAv7FzsUEw7Zg3R7clpgT	Andrew Meller	Born Slippy (Reincarnation Mix)	2018-05-11	day	Techno (Peak Time / Driving)	Glasgow Underground
spotify:track:7EfeT6AP81defdjrBCQ3Ri	Andromedha	Safari (Extended Mix)	2019-11-12	day	Progressive House	Colorize (Enhanced)
spotify:track:2EqVkvGSpRHGO9s2jRphYG	Andy C, Fiora	Heartbeat Loud (Extended Version)	2014-11-28	day	Drum & Bass	RAM Records
spotify:track:5PuJ00qKGWqbGeeWbt8WJb	Andy C, Fiora	Heartbeat Loud	2014-09-29	day	Drum & Bass	RAM Records
spotify:track:1ORDYmBYllvoGjgWEDXPp5	Andy Moor, Adam White, Whiteroom, Marsh	The Whiteroom (Marsh Remix)	2022-08-12	day	Melodic House & Techno	Anjunadeep
spotify:track:23zxA6Dq0A179KhwOn5Z9f	Angelo Ferreri	Dance with Me (C'mon) (Original Mix)	2020-02-14	day	House	Motive Records
spotify:track:3PZ2NOlY7UBTEzwprgEXz1	Angelo Ferreri	Love Problems (Angelo's Hard to Be Human Extended Mix)	2022-03-25	day	Nu Disco / Disco	Deepalma Soul
spotify:track:5zQC922ZzlEbt9RsANWXZH	Angelo Ferreri	Oh Honey (Extended Mix)	2021-03-19	day	Deep House	Glasgow Underground
spotify:track:5jpe3La1qz7jKxTRv85JE9	Angelov	Retrida	2019-10-11	day	Melodic House & Techno	Diynamic
spotify:track:7AB0PkmA2w0xmrvS51m1sU	Anja Schneider	All I See	2017-11-03	day	Deep House	Sous Music
spotify:track:47ZtIbXcqQt0z3YFmcscDI	Ann Clue, Boris Brejcha	Roadtrip	2016-06-21	day	Minimal / Deep Tech	FCKNG SERIOUS
spotify:track:2gauzJG2UlNCWiBP5ppcNc	ANNA, Ravid	Cosmovision	2022-07-20	day	Melodic House & Techno	Afterlife Records
spotify:track:7ngSnVL7lrvs2RCcZLQob6	Anriu	The Forgotten (Extended Mix)	2021-10-15	day	Melodic House & Techno	Purified Records
spotify:track:4Bl14xQWo7Q6jagOcPZ5mI	ANT LaROCK, Roland Clark, David Mayer	Alkebulan (David Mayer Remix)	2021-04-02	day	Afro House	Exploited Club
spotify:track:4cF15Qxs3y4Qd0sOs0F4nL	ANUQRAM	Get On	2022-07-22	day	Progressive House	Anjunabeats
spotify:track:5SfcsMI2nJhdZpmwCcNEGf	Anyma	Explore Your Future	2023-03-23	day	Melodic House & Techno	Afterlife Records
spotify:track:1DOuZaf52j4O1zlyQpxSQx	Anyma, Chris Avantgarde	Consciousness	2022-05-18	day	Melodic House & Techno	Afterlife Records
spotify:track:1i5XRu1L0x7gIg9UGKqizL	Anyma, Chris Avantgarde, Eric Prydz	Consciousness (Eric Prydz Remix)	2022-08-17	day	Melodic House & Techno	Afterlife Records
spotify:track:2XmN4sUQdDwnAwCqTpScMw	Anyma, Innellea	Angel 1	2023-08-11	day	Melodic House & Techno	Afterlife Records
spotify:track:7r2NGL9AqMs7pB6xwsd3qf	Aparde	Hole	2021-05-28	day	Electronica	Ki Records
spotify:track:7drvQb5iHZCqoMuj3NPOJI	Argy (UK), DMCK, T78	The Funky Sound (T78 Remix)	2018-05-21	day	Techno (Peak Time / Driving)	iTechno
spotify:track:4YUM6w6KqQLEwxi3ShRA8T	Arm In Arm, Moonwalk	Hunger For Your Vibe (Moonwalk Remix)	2019-04-05	day	Melodic House & Techno	Blaufield Music
spotify:track:5WEYk2b7fdg0hl42Ts3f4I	Armand Van Helden	I Want Your Soul	2007-05-06	day	House	Southern Fried Records
spotify:track:0ddQ8L1ODGCWWOGErKKxqM	Armand Van Helden	My My My (Original Club Mix)	2006-06-11	day	Progressive House	Southern Fried Records
spotify:track:7zkcY1CrKhj2kCIS9Q7TyP	Armand Van Helden	My My My	2004-09-20	day	House	Be Yourself Music
spotify:track:0IMJIkOxtCFnmOmrpIH08O	Armand Van Helden	Wings	2016-11-25	day	Funky House	SPINNIN' RECORDS
spotify:track:55bwPRlXvvQ8HFWgXwqAsK	Armand Van Helden, Agent Orange DJ	Witch Doktor (Agent Orange DJ 2018 Rework)	2018-12-28	day	Techno (Peak Time / Driving)	ELEVATE
spotify:track:0TN9m8rp3ZuNi4JwCKSans	Armand Van Helden, Duane Harden	U Don't Know Me (feat. Duane Harden)	1998-01-01	day	House	X-Mix Productions
spotify:track:6T6prTkN0PgnGPdW7lZ7Jv	Armen Miran, Hraach	Aldebaran (Original)	2016-09-26	day	Organic House / Downtempo	Sol Selectas
spotify:track:7zv2EDA0NcGb8F6CVJLZk3	Armin van Buuren, AVIRA	Illusion (Extended Mix)	2020-08-14	day	Melodic House & Techno	Armind (Armada)
spotify:track:76agEIDb8skVZ02dh45FUV	Armin van Buuren, Tempo Giusto, i_o	Mr. Navigator (i_o Remix)	2020-01-17	day	Techno (Peak Time / Driving)	Armada Music
spotify:track:7p2DubZ9aiDmdIGU18O8qx	Armin van Buuren, Tempo Giusto, Maxim Lany	Mr. Navigator (Maxim Lany Remix)	2020-03-20	day	Melodic House & Techno	Armada Music Albums
spotify:track:2wxWRYgk8iTQ7vFFB7zT6j	Arno Cost, Arias	Magenta	2006-07-01	day	House	Serial Records
spotify:track:1ZQAMVWF9nHRag29wntNz7	Arodes, Like Mike	Esperanza	2023-01-13	day	Afro House	MoBlack Records
spotify:track:770zzJRmEN0sudaxuD7GkB	ARTBAT, Dino Lenny	Fading	2021-01-22	day	Melodic House & Techno	Afterlife Records
spotify:track:7LHqxlhat0OIf3gCOGnOGr	ARTBAT, Pete Tong	Age of Love (ARTBAT Rave Mix)	2022-01-07	day	Melodic House & Techno	Ministry of Sound Recordings
spotify:track:5MmDAFQa8SP9bA5J3f5vYc	ARTBAT, Shall Ocin, braev	Origin	2022-07-22	day	Melodic House & Techno	UPPERGROUND
spotify:track:4f1oe0HLD9sRXYrVTkYugS	Arude	Materion	2022-12-16	day	Melodic House & Techno	Radikon
spotify:track:6oGNTjaP8DetHyqHkcwcsy	Arude, Ramona Storm, Mark Hoffen	You Sleep (Mark Hoffen Fancy Rework)	2021-06-04	day	Melodic House & Techno	Radikon
spotify:track:1TmgIqBZJsMvs4p96tEWrI	Async	Deepart 8.0	2018-04-27	day	Deep House	Italian Way Music
spotify:track:1StLiKnQ2AYTWfbEQNHQE7	ATFC	U Got Me (Extended Mix)	2020-06-12	day	House	Armada Subjekt
spotify:track:16kezyAFbcBuDxuqZdt1gZ	ATFC, David Penn	Hipcats (Extended Mix)	2018-02-26	day	House	Armada Subjekt
spotify:track:5I9M8aa6uK6km3N20PEpu5	ATFC, Gene Farris	Spirit of House (Extended Mix)	2020-02-28	day	House	Toolroom
spotify:track:7zNtR92mlXqxkxE0WmqU2m	Audiojack	Are We Here	2020-06-05	day	Progressive House	8Bit
spotify:track:1rlNpTZ4vEU69lBnC4z7Kt	Au/Ra, CamelPhat	Panic Room (Club Mix)	2018-07-28	day	Melodic House & Techno	RCA Records Label
spotify:track:1FMRxA2Ql5vSsnWFuaDbsu	Avicii	Silhouettes (Original Mix)	2012-04-27	day	Dance / Electro Pop	Universal Music AB
spotify:track:1wQpzZ9QfVUCn1lw2C2bf5	Avicii	Sound Of Now (Original Mix)	2008-11-06	day	Progressive House	Vicious
spotify:track:0kXJNqmYdjwb31QLWGkNb7	Avicii, Lenny Kravitz	Superlove	2012-05-29	day	Progressive House	Roadrunner Records
spotify:track:3qzBbmJBDJ2pQREiDe4zjA	AVIRA, Diana Miro, Mark Knight	The Worship (Mark Knight Extended Remix)	2021-04-02	day	Dance / Electro Pop	Armada Music
spotify:track:3kPehpAFW5keiaMoEWWKA2	Axwell, A-Trak	Nobody Else (A-Trak Remix)	2019-05-03	day	House	Axtone Records
spotify:track:0JZkHo1pgZGGCY4CFY7N01	Axwell, Sebastian Ingrosso, Steve Angello, Laidback Luke, Deborah Cox, Daddy's Groove	Leave The World Behind (Daddy's Groove Magic Island Rework)	2009-05-04	day	Mainstage	Axtone Records
spotify:track:0gkPk0ZveKo3407ahJtsgB	Axwell, Steve Edwards	Watch The Sunrise (Extended Vocal)	2005-08-22	day	Mainstage	Axtone Records
spotify:track:2le6uB5ibOTFNJSvX1bobP	B Beat Girls, Nic Fanciulli	For The Same Man (Nic Fanciulli Extended Remix)	2022-05-06	day	House	Defected
spotify:track:3NQ5EVJxvPTMVqpaWBwnO5	Babert	Time After Time (Extended Mix)	2019-07-19	day	House	Soulfuric Deep
spotify:track:4aWZt29NZJGpDDmhDrOQbI	Bajau, Zoe Kypri	Slow Motion	2020-03-13	day	Progressive House	Stress Records
spotify:track:12TR8I7xcXdT0RStDgRYks	Bakermat	Baby	2017-01-27	day	Mainstage	Dirty Soul Music (Be Yourself Music)
spotify:track:1gIeGgYMJlqsJkBHi7PMhZ	Bambook	Humble Hearts (Original Mix)	2014-06-02	day	Deep House	Culprit
spotify:track:2HFtvloWOKiP7rnOs9dVJE	Bando (GR), The Cube Guys	Groove Is in the Heart	2020-03-30	day	Funky House	Cube Recordings
spotify:track:5MVySO0P7Jmw7gCmyxQdRH	Barbatuques, Jack Back	Baianá (Jack Back Club Remix)	2019-10-04	day	House	FFRR
spotify:track:4WPdis6kH2iI0a7zXpmUfW	Bart Skils	Roll the Dice	2023-03-24	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:7n7Eu0uVp0sVE1iLPMkrPr	Bart Skils, Weska	House of Lords	2022-02-11	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:494WZGoi5FYjguGIpeLTSg	Bart Skils, Weska	Lost on You	2019-08-05	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:0iTbgGaxAehWi5gvkt7nWk	Bart Skils, Weska	Polarize	2019-08-05	day	Techno (Peak Time / Driving)	Drumcode
spotify:track:7AXyaEZqvQ2YJY3yQbfeWX	Basement Jaxx, The Cube Guys	Red Alert (The Cube Guys Remix)	2020-03-20	day	House	Cube Recordings
spotify:track:4YHkwyJzzDGgdYIJlsw8HT	Bassel Darwish	Speak	2019-08-30	day	Tech House	Rawsome Recordings
spotify:track:3yYRlfWjWcJReYTAT54I7o	Be Svendsen	Nemrut (Edit)	2021-08-05	day	Organic House / Downtempo	Cercle Records
spotify:track:0ztsdXOkBxaxt5HMSs3AKG	Beatamines, Fabio Montana, Hidden Empire	Eclipse (Hidden Empire Remix)	2017-01-10	day	Progressive House	Click Records
spotify:track:27EXnZVzLeuul9Wil7jOy2	Beatchuggers, Earth n Days	Forever Man (How Many Times) (Earth n Days Extended Remix)	2021-01-08	day	Funky House	Armada Music
spotify:track:0inmFxJFSBojJMHxtcschw	beatsbyhand, Kali Mija	Gypsy Woman (She's Homeless)	2022-04-15	day	Deep House	Stay True Sounds
spotify:track:6zCctM3ICUW0eTBhYqpJEU	Belocca	Budapest Underground	2019-10-11	day	Techno (Peak Time / Driving)	Mainground Music
spotify:track:5HBauxmGtAMYU7x8Y4t7iM	Belocca	Flower Of Life	2021-09-17	day	Techno (Peak Time / Driving)	Mainground Music
spotify:track:2b6Qg13iooGb1LnBFwrtcH	Ben Böhmer	After Earth	2018-01-05	day	Progressive House	Anjunadeep
spotify:track:7ocpmlXkxJVGtPLLFQhMGP	Ben Böhmer	Autumn	2016-11-01	day	Deep House	Ton Töpferei
spotify:track:0SbDNXZYqfsMarINcb72X5	Ben Böhmer	Beyond Beliefs	2021-07-07	day	Melodic House & Techno	Anjunadeep
spotify:track:5GOcfMVwFispI9sJHs6gdm	Ben Böhmer	Dissensions	2017-03-23	day	Deep House	Freundchen
spotify:track:2BMq5cGgtWKKxCDolwpx78	Ben Böhmer	Dysphorie	2018-03-16	day	Deep House	Freundchen
spotify:track:0ESNxorKovvlnBd2NgdgQt	Ben Böhmer	Fade to Blue	2021-09-24	day	Melodic House & Techno	Anjunadeep
spotify:track:4WC8fxC86YoRCDO9P5sAte	Ben Böhmer	Fliederregen	2019-03-14	day	Melodic House & Techno	This Never Happened
spotify:track:1HAwhsOdb52Q7cxIugr9md	Ben Böhmer	Ground Control	2018-11-09	day	Melodic House & Techno	Anjunadeep
spotify:track:3E0catUU8PXnYOx7c39dkq	Ben Böhmer	In Memoriam	2019-11-22	day	Melodic House & Techno	Anjunadeep
spotify:track:6wJmUadGoqw3gS9b9HUL0Y	Ben Böhmer	Maelstrom (Extended Mix)	2021-02-04	day	Melodic House & Techno	Anjunadeep
