uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
spotify:track:0UpOECrQV1WCxepq5aSTyO	0.742	0.513	0	-11.965	1	0.0301	0.327	0.903	0.133	0.435	119.97	258009
spotify:track:02f2u3zaWbEYDcBnqNZz2r	0.735	0.856	8	-10.15	1	0.0458	0.0026	0.814	0.0731	0.242	120.021	246540
spotify:track:0gDfkQYmyiq0eZFLof6hbh	0.405	0.882	7	-8.774	1	0.0322	0.00037	0.961	0.1	0.0571	134.782	194947
spotify:track:3widiHpfdpLKuLqu7oMfaO	0.529	0.928	4	-5.493	0	0.0561	0.0101	0.255	0.328	0.0749	131.984	227273
spotify:track:5l8VA4LS2FUfqavQVgaaxO	0.754	0.752	4	-10.233	0	0.0434	7.46e-05	0.862	0.0834	0.161	139.998	336267
spotify:track:00jeiElGSGej0YjhJYAzaw	0.821	0.58	9	-7.181	0	0.052	0.00394	0.857	0.0918	0.319	123.991	364334
spotify:track:1DMAvjc8lHD1rGKvTOh66L	0.843	0.805	6	-6.923	0	0.0507	0.000965	0.388	0.0495	0.963	122.005	350857
spotify:track:5jZdoOLctNYU8c9zDlCLzJ	0.849	0.931	8	-7.517	0	0.0482	0.000458	0.103	0.0477	0.839	121.005	335222
spotify:track:7oKKVO6iODYTFlibMX9oGC	0.833	0.875	4	-6.598	1	0.044	0.000554	0.356	0.0459	0.844	120.005	420531
spotify:track:6DpL6pVHnCZ91EoPzkB0Zi	0.77	0.764	7	-7.704	1	0.0429	0.00432	0.621	0.037	0.332	124.007	221990
spotify:track:1LIj5vN7Q8id16vaNQ92G6	0.793	0.903	1	-7.748	1	0.0536	0.0838	0.906	0.0957	0.626	125.005	362880
spotify:track:0tFyBGnOezYA449BKb1hZn	0.743	0.591	2	-10.059	1	0.0438	0.0017	0.866	0.11	0.0461	130.006	432092
spotify:track:5s36m0BvCeiP7rYEVejL7F	0.607	0.933	7	-6.817	1	0.047	0.00201	0.875	0.101	0.11	126.007	459939
spotify:track:2cXo7Bly6wskckTQytxAOy	0.816	0.866	6	-6.282	0	0.0602	0.000766	0.848	0.0998	0.95	130.016	431077
spotify:track:0fZ19tHX4FSslZn8EeKCpo	0.708	0.749	9	-7.003	1	0.0406	0.000143	0.877	0.0838	0.17	123.997	313748
spotify:track:31QqKRikjh4mtLFPle9ub9	0.568	0.912	5	-11.388	0	0.0393	0.514	0.914	0.0993	0.215	122.012	227161
spotify:track:4W55qYfxVD5iyfkDXgK6ue	0.743	0.838	11	-6.143	1	0.0442	0.47	0.777	0.0608	0.704	121.007	352572
spotify:track:1qGtpcoxzY6ouy2yOtwHcN	0.707	0.96	2	-5.411	1	0.0739	0.00726	0.45	0.101	0.707	125.018	207360
spotify:track:2QlevuOOERHLcKxkhXskAK	0.502	0.963	7	-6.001	0	0.0566	0.00284	0.858	0.762	0.0395	127.995	159000
spotify:track:4hl7Fu604rMlt4viCJmSN9	0.693	0.867	6	-10.746	0	0.0447	0.0215	0.876	0.119	0.299	130.0	353086
spotify:track:4DQTrCa02Vo34fDS0nHmSX	0.608	0.894	7	-7.429	1	0.0402	0.0158	0.903	0.831	0.442	131.997	281818
spotify:track:20f9byj2N9OlC3VbHprwKk	0.73	0.966	9	-6.116	1	0.061	0.00274	0.0861	0.374	0.664	123.981	198145
spotify:track:4Wqt3AN9VdDLSasuomSYmI	0.855	0.582	8	-5.428	1	0.0414	0.00875	0.026	0.0766	0.454	122.998	279476
spotify:track:7n9rePdJHPQ6QFgpjTPEj6	0.639	0.975	3	-6.934	1	0.0732	0.000249	0.749	0.204	0.0302	144.011	363443
spotify:track:3ODEf1vww4qljvqidfcqIU	0.714	0.572	9	-13.038	1	0.0413	0.017	0.926	0.109	0.0449	121.012	413045
spotify:track:72DJYvdItwcnDUzbViU1Kl	0.683	0.732	5	-7.222	1	0.0415	0.00193	0.366	0.0534	0.123	123.015	411172
spotify:track:2z1eTgub49WD8F7RWBO2Fg	0.595	0.985	11	-5.44	0	0.0491	0.0116	0.933	0.0379	0.274	145.012	360781
spotify:track:4t1DXTyp454P6uY7FL29rg	0.793	0.476	11	-15.635	0	0.0682	0.0673	0.941	0.104	0.0599	127.993	397500
spotify:track:5iOeyAeFbAIbASxoYoAswL	0.757	0.889	1	-8.399	1	0.0686	0.0795	0.963	0.112	0.0933	131.015	355958
spotify:track:5UsfWcP6SThHlZ4oAgx7ge	0.725	0.908	7	-8.798	1	0.0345	0.0375	0.822	0.108	0.134	128.006	337500
spotify:track:0L0jY2Wszmkau1tKQv2AZJ	0.728	0.863	7	-8.398	1	0.0703	0.0112	0.841	0.113	0.66	132.015	339604
spotify:track:2vfSCFvMbpf4hwxt22Wx7b	0.736	0.845	1	-12.017	1	0.0377	0.00548	0.901	0.111	0.198	128.009	393740
